poly,electrode,x,y,firing_rate
1.0,1.0,21.65,25.0,0.0
2.0,2.0,21.65,725.0,0.0
3.0,3.0,21.65,125.0,0.0
4.0,4.0,21.65,325.0,1.5870372344122723
5.0,5.0,21.65,375.0,4.099103193938439
6.0,6.0,21.65,475.0,5.5145085926066875
7.0,7.0,21.65,675.0,0.0
8.0,8.0,21.65,775.0,12.051006752598244
9.0,9.0,21.65,225.0,5.646018700514446
10.0,10.0,21.65,275.0,0.0
11.0,11.0,21.65,575.0,2.4897761107282417
12.0,12.0,21.65,525.0,7.100431334579064
13.0,13.0,21.65,425.0,29.2821743658343
14.0,14.0,21.65,175.0,0.0
15.0,15.0,21.65,625.0,18.571902018431253
16.0,16.0,21.65,75.0,0.0
17.0,17.0,-21.65,0.0,0.0
18.0,18.0,-21.65,450.0,45.73876973334246
19.0,19.0,-21.65,100.0,0.0
20.0,20.0,-21.65,250.0,18.959745387515152
21.0,21.0,-21.65,600.0,64.21593989438253
22.0,22.0,-21.65,400.0,28.663631061691877
23.0,23.0,-21.65,550.0,27.461093719043813
24.0,24.0,-21.65,750.0,4.097988701498543
25.0,25.0,-21.65,200.0,0.0
26.0,26.0,-21.65,650.0,13.000554311389857
27.0,27.0,-21.65,350.0,4.892621811144576
28.0,28.0,-21.65,500.0,3.235371553018839
29.0,29.0,-21.65,700.0,0.0
30.0,30.0,-21.65,150.0,4.296368355800078
31.0,31.0,-21.65,300.0,20.507775386531055
32.0,32.0,-21.65,50.0,0.0
